BLANK,Denied Points,Amplitude,Amplitude STD,Position,Position STD,Sigma,Sigma STD,FWHM,R^2,SNR
,Point 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 4,132.40248598246146,262.7324703707618,1055.9261488148286,195.6045996951592,37.11775725229742,118.1892662440952,87.22672954289895,-0.32990715771203805,3.3136852653297817
,Point 5,71.34933009310907,7.425888083749169,1079.0133168168077,5.691813518960137,18.236419036398527,6.357325240281987,42.85558473553654,-0.31871525187644356,1.9312099373880551
,Point 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 8,78.53428647947332,34.53113279715147,1089.5791317152562,2.108197850787608,5.730306864564083,3.150348543971015,13.466221131725597,0.9666718848493804,2.100237962993965
,Point 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 10,323.4525563177495,inf,1070.762386644504,inf,2.029908669616051,inf,4.770285373597719,-inf,8.534238639244183
,Point 11,29.61654241068816,inf,1083.3471163855206,inf,0.4786490719608367,inf,1.1248253191079662,-inf,0.8518471997583253
,Point 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 15,86.20312889847294,6.690920133899679,1081.4173029654726,0.5686587086000914,4.436963501233345,0.4138923326999571,10.426864227898362,0.999999999987451,2.4181798816492193
,Point 17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 19,147.9170433857843,46.36690552468654,1067.6030244637552,48.776745183168195,35.33773394602371,43.612246428495844,83.04367477315573,0.5583662077030533,3.928432211017383
,Point 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 22,196.90712385467708,28.12435782776227,1085.521857219904,3.2562094154855417,16.443977833287015,5.298020167090821,38.643347908224484,-0.7739008339888109,4.721289289788513
,Point 23,262.03645681572215,52.95045539405319,1085.9614122202122,11.033812948319211,27.670334420463412,31.02158028164877,65.02528588808902,-1.1250424979439968,7.231467972509747
,Point 24,143.0614772635487,18.186780694772523,1076.139759095485,17.106100224591085,26.224112082673106,19.48940010294074,61.6266633942818,0.5213923984584401,4.145933487658836
,Point 25,130.31549528144618,78.11591449897632,1070.598234711241,42.94931331908563,19.806340658638568,29.33434325523212,46.54490054780064,-0.020408976476310015,3.4839259559660687
