BLANK,Approved Points,Amplitude,Amplitude STD,Position,Position STD,Sigma,Sigma STD,FWHM,R^2,SNR
,Point 2,157.3123514,10.36492579,1090.664538,3.167873904,17.41346504,3.546294518,40.92164284,0.863402933,4.095816929
,Point 20,140.0039807,0,1080,0,14.16105686,0,33.27848363,0.643779826,4.616703677
,Point 24,111.0686625,39.78583253,1084.13979,4.874717096,11.5408664,5.876472164,27.12103605,0.766254023,3.204990921
,Point 33,158.3957269,5.137640365,1089.228767,1.735379854,20.01979538,2.34198055,47.04651914,0.635584873,4.106526815
,Point 36,221.6388935,26.97570796,1086.22797,1.476170466,10.15860192,1.671030086,23.8727145,0.905693333,6.016818691
,Point 37,170.4830975,53.94803428,1089.559989,11.95473743,16.49813688,14.16991249,38.77062167,0.728048247,4.869831971
,Point 43,247.6308326,16.79595975,1083.74314,0.94051051,11.78951051,1.152740744,27.7053497,0.93118617,7.130099494
,Point 49,301.8220863,12.30875755,1089.779558,1.360227328,15.31489317,1.54923984,35.98999896,0.966370758,7.136398575
,Point 50,261.1583899,63.06815194,1085.04869,2.713443851,9.654369706,2.951223712,22.68776881,0.86677865,6.678857884
,Point 53,173.822158,30.23863475,1079.501627,2.344116107,11.44364203,2.808093155,26.89255877,0.883516544,4.440039209
,Point 58,203.1667521,7.040645574,1087.507872,1.432214579,19.51923525,2.189737942,45.87020285,0.69234159,6.006963359
,Point 70,161.8344123,29.18409035,1075.810575,2.116671017,9.615372401,2.399315614,22.59612514,0.905709665,3.558319744
,Point 82,270,0,1086,0,22,0,51.7,0.457794464,5.945200775
,Point 83,190,0,1083,0,30,0,70.5,0.620670344,5.327418481
,Point 85,200.8225716,53.17730932,1089.595464,11.56071336,17.69279008,14.10714547,41.57805669,0.72932951,4.979853228
