BLANK,Denied Points,Amplitude,Amplitude STD,Position,Position STD,Sigma,Sigma STD,FWHM,R^2,SNR
,Point 1,190.6655158,66.23980565,1089.976875,1.846199139,5.476546941,2.340478879,12.86988531,0.997111118,5.034204767
,Point 6,0,0,0,0,0,0,0,0,0
,Point 7,0,0,0,0,0,0,0,0,0
,Point 8,0,0,0,0,0,0,0,0,0
,Point 9,0,0,0,0,0,0,0,0,0
,Point 10,102.5133888,8.115581662,1087.879787,5.447626031,33.20033106,20.25153777,78.020778,0.038579025,2.704797679
,Point 11,404.9069146,5.582580756,1089.742334,1.182306635,36.17774664,4.569563822,85.0177046,-0.733298048,11.64615425
,Point 12,428.2399214,34.17505147,1090.002484,24.37426259,68.78696294,177.7669753,161.6493629,-0.592073544,10.40767446
,Point 13,375.6469522,32.99683738,1093.301466,7.316948935,28.89826094,16.35495121,67.9109132,-1.190316199,10.96086432
,Point 14,251.4337531,40.98056121,1086.587549,4.237495203,18.5180734,8.117568061,43.51747249,-2.231035028,6.199574859
,Point 15,430.4346555,69.52244212,1082.266267,4.797941101,16.25057649,6.410728386,38.18885475,-0.195085349,12.07460144
,Point 17,145.4912162,23.56290461,1080.226841,38.61765548,40.99787403,90.40158051,96.34500398,-0.859945874,3.70072897
,Point 20,0,0,0,0,0,0,0,0,0
,Point 22,266.5859123,114.9248175,1091.656109,5.000709973,9.908449916,5.533012023,23.2848573,0.694875787,6.391994297
,Point 23,206.0908588,917.1111587,1140.582472,2196.996138,111.5980952,2346.508827,262.2555237,-0.00744393,5.687527083
,Point 24,422.0813447,479.7497456,1045.422675,60.88208522,31.77299583,24.40054008,74.6665402,-0.102582979,12.23195241
,Point 25,322.3636033,141.2437463,1111.930487,69.82695653,39.44425246,59.86142131,92.69399327,-0.769330803,8.618245454
,Point 26,0,0,0,0,0,0,0,0,0
,Point 27,0,0,0,0,0,0,0,0,0
,Point 28,313.3645623,22.24184311,1085.119481,4.104701877,27.30677664,10.64370948,64.17092509,-1.112252544,8.949470759
,Point 29,265.799001,20.13761825,1083.418281,0.749223788,8.228548816,0.736320765,19.33708972,0.994662661,6.217347811
