BLANK,Denied Points,Amplitude,Amplitude STD,Position,Position STD,Sigma,Sigma STD,FWHM,R^2,SNR
,Point 3,277.1027695786756,30.480688787856014,1086.9103851765321,1.1781365541855386,5.333533370956806,0.6783578281145165,12.533803421748495,0.9999877744762146,6.08669083849059
,Point 4,234.1417156829698,1248.5406297982831,1130.5446010517308,284.0545448619431,34.203545661580435,106.42654394276198,80.37833230471402,-4.928624314242083,5.830607446949797
,Point 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 7,140.1819202232295,20.207100786480957,1087.0646596485194,2.202739115035386,11.650861371270029,2.639503450919787,27.37952422248457,-0.13601680859788878,3.8225580277137152
,Point 8,744.0773812508559,426260329.46992815,1091.0326961065891,130029.29197375473,2.363414565052284,328624.05427472264,5.554024227872868,-inf,19.81449055012803
,Point 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 16,186.3552418220217,30.781519229778727,1076.8501971064998,4.676330431567698,16.666775022208977,6.741115029496826,39.1669213021911,0.22574090318027773,4.877465533402306
,Point 17,199.99372522173158,290.1525670050236,1092.80972754191,6.5805020862788615,5.87956556985506,13.205483356013925,13.816979089159393,0.9999993619948684,5.096037040657855
,Point 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 26,166.23895553075636,68.97434204493052,1085.017935958632,6.354113568591863,12.4087674646289,8.039353783183913,29.160603541877915,-0.37552444634294746,4.4268803152514815
,Point 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 29,193.05221276820637,160.75461021243603,1097.421782321642,44.68627850135544,13.781722850709048,31.09612673547488,32.387048699166264,-0.041135001968509055,4.500141372935637
,Point 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
