BLANK,Denied Points,Amplitude,Amplitude STD,Position,Position STD,Sigma,Sigma STD,FWHM,R^2,SNR
,Point 0,628.0186226869348,54667130.54256903,1090.111936579908,65069.75145958583,2.3931832635551133,56051.65026794912,5.623980669354516,-inf,16.49783429316386
,Point 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 5,295.8306531120074,7.152143365360435,1076.562865069391,0.22341682710996907,6.825187393989701,0.17809926960647096,16.039190375875798,0.9999540975847266,7.976783829923326
,Point 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 9,144.77785692918155,69.5811095962995,1068.973275869328,30.212549376782825,16.381524214366557,25.302233846206946,38.49658190376141,-0.060153322921444596,3.6037172514216804
,Point 10,783.0401267682665,140359049.98132572,1082.1595285019398,30427.215042349497,2.460534981890871,115270.72456638505,5.782257207443546,-inf,20.607900639397428
,Point 11,186.80324742213924,87.55740997485306,1084.6684789321898,7.020223590836341,12.315405842974787,8.86351739672297,28.94120373099075,0.288268060016194,5.353852644661499
,Point 13,114.9756709053804,32.41026529048157,1090.054628359216,20.05164110392779,21.97207247454628,26.915280908167016,51.63437031518376,0.39797178109262,3.348851887765742
,Point 14,252.3699145584735,2.9971958431614487,1075.430318048939,0.32815123620782294,15.233677734899736,0.41143886043052735,35.79914267701438,-2.204719512335265,6.194342171433387
,Point 19,375.1505066042197,6775796.5961409155,1082.7633039952868,10257.682077819209,2.6100536045466507,14399.246746418534,6.133625970684629,-inf,9.912630433596343
,Point 20,963.7820876470457,16281.9859511846,1002.5266413831936,885.8473725344431,44.44263728508693,257.8165442465986,104.44019761995429,-24.838751776968202,31.781212820855465
,Point 21,1013.2518538636134,681823527.1349483,1082.0851834223768,79910.73656336355,2.3469920186925974,374620.0480715907,5.515431243927604,-inf,24.748228345716413
,Point 23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 28,308.3267054104727,55.6964270105653,1078.4324728675097,1.5902868994430266,6.738865784052941,1.3527318499966738,15.836334592524413,0.994797441604436,8.763040629633796
,Point 29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 30,120.79521509525318,15.944490983053605,1083.0271304413673,5.3772806382732155,24.436935981504597,14.04665998570346,57.426799556535805,0.20943576303877875,3.2265948679916248
,Point 31,138.0590764372401,11.537120371445157,1085.285713263077,1.8041677767206048,15.38522033260155,2.6685770851825437,36.155267781613645,-0.4128915238977262,3.3608479579410693
,Point 32,173.47993888163654,56.1276551813018,1082.6456981779963,4.2306779880707275,11.315271877656143,5.016030440557953,26.590888912491938,0.6129611132619321,4.42677840559438
,Point 33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 34,347.03952819517815,6.92562106629582e+17,1099.1955271239935,3406051361843678.0,1.9882360364177656,442612569769909.3,4.672354685581749,-inf,10.721610418080852
,Point 36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
