BLANK,Denied Points,Amplitude,Amplitude STD,Position,Position STD,Sigma,Sigma STD,FWHM,R^2,SNR
,Point 0,327.5321345001862,1234.2388958533168,1119.907853777737,273.5509105092368,34.900686036716316,133.05316865058248,82.01661218628334,-0.7313606083951694,8.604157083036043
,Point 1,264.8783792108693,122.1986907958756,1086.6551109302977,4.803743181543972,5.4765053392331575,2.8395930693951654,12.869787547197921,0.9995459686437822,6.958462908040972
,Point 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 3,526.9856014362271,295299819.3611787,1090.891402926983,167492.9197395931,2.3669033560589168,325450.0159173488,5.562222886738454,-inf,11.575483121858978
,Point 4,602.5112995919635,392828693.199651,1081.7517490670539,26363.154004649696,2.3746964213343538,375703.1843859262,5.580536590135732,,15.00376325519434
,Point 5,90.75567483119104,27.007450015252132,1071.0738949289969,9.509210329368253,12.480405869388113,9.192098217061497,29.328953793062066,-0.5113272030870386,2.4471378873409937
,Point 6,120.87654084814186,102248085.29567376,1071.1354282304571,576873.079428092,-2.699215281902025,754694.6111967663,-6.343155912469759,,3.254342883167051
,Point 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 8,883.5776421944564,inf,1063.6436165914927,inf,2.069608749558627,inf,4.863580561462773,-inf,23.529328108502188
,Point 9,994.980296160896,903248914.9729836,1072.856536612706,307848.9524244703,2.3552351368727953,523473.1343520301,5.534802571651069,-inf,24.766409271091728
,Point 10,158.95196353810323,485.30185441470036,1108.3950580517385,326.1715773571255,34.2244824907272,221.8874890392702,80.42753385320891,-0.6618934428095602,4.183267445756017
,Point 12,620.1289051716295,inf,1100.287506527036,inf,1.9785028813434984,inf,4.649481771157221,,15.029989594218355
,Point 13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 16,58.59700717334382,inf,1086.85243126583,inf,1.0490043420513797,inf,2.4651602038207425,-inf,1.5336562580915738
,Point 17,804.6089106543437,3109101849.7272444,1091.2380476349804,479376.45419302135,2.3181970291876755,2114899.9976929156,5.447763018591037,-inf,20.502227294340912
,Point 18,305.61912307663164,54.78670061225657,1075.4072519729966,1.5419672845339187,6.246400372468656,1.2776205024537657,14.679040875301343,0.9997196350744897,7.10250862787007
,Point 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 20,-282.4027759662679,101190546.80232786,1081.4323772592134,70617.46998245265,-2.3769270651901913,208305.12160576443,-5.58577860319695,,-9.312377599894935
,Point 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 22,104.38898821419589,5.03764249859159,1072.731426361256,1.564798973123746,14.093159880947201,1.63956965225497,33.118925720225924,-0.02249500311044228,2.490482378455149
,Point 23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 24,118.07649034543766,2.6783611309854285,1085.1156787380044,0.44186278000893187,14.532955579637624,0.6284014901663343,34.15244561214842,-0.2968013098620712,3.407208396249047
,Point 25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 26,156.83818594503686,68.08702355423092,1079.706258482983,4.426783940520125,8.880080989971356,4.644051983174135,20.868190326432686,0.7156160373368068,4.1765413878059405
,Point 27,-53.17364576927939,6.548583327732672e+19,1102.0045832445903,2.0003446117012877e+18,-2.1079510228311094,2.5822584423122838e+17,-4.953684903653107,,-1.3901739458872786
,Point 28,114.21505545185796,21.50210661704824,1072.0207356342125,1.282284950857686,7.214955928161211,2.1937209466077854,16.955146431178846,0.8771928474851609,3.2461384430130926
,Point 29,838.3836988148428,500502104.45198053,1072.8278787097229,174103.87704840943,2.2419890883231943,294295.8823912158,5.268674357559507,-inf,19.543133514669723
,Point 30,150.25983167760202,5.130603098732915,1077.6554964365944,0.8618820786670041,16.312387445143273,1.2862557613149213,38.334110496086694,-0.9022082764823744,4.0136325050120965
,Point 31,99.71762235477307,432.8580517197279,1064.2842178623732,146.34154674665467,-9.561204677076441,82.40440698974615,-22.46883099112964,,2.4274808734804645
,Point 32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 33,627.508036350563,1539631836.6073282,1091.9941677112959,644133.6799463741,2.4762759953318962,1613875.808304842,5.819248589029956,-inf,16.268611711416444
,Point 34,130.80742376001226,523.0390420537092,1052.9148602250518,397.3742231123857,34.794522851098954,252.47603757960235,81.76712870008254,-0.08403563078909126,4.041229091802201
,Point 35,63.86018779147345,6.913107046601505,1080.5493703786624,1.0998172264606942,8.923936841940785,1.1647047662155507,20.971251578560846,0.9649929402241798,1.4509252727954698
,Point 36,470.7035525436538,inf,1098.1076477639413,inf,1.078030926783512,inf,2.5333726779412533,-inf,12.778163110058575
,Point 37,560.5045391024837,309691572.62190294,1082.1968835835087,96082.64136296084,2.357340286749361,312752.59835605236,5.539749673860999,-inf,16.010753939127966
,Point 38,102.3595272404728,2313006079612.956,1086.092426592734,73018927729.51656,1.4060574591473018,10540251372.636465,3.3042350289961595,-inf,2.602690620092656
