BLANK,Denied Points,Amplitude,Amplitude STD,Position,Position STD,Sigma,Sigma STD,FWHM,R^2,SNR
,Point 0,1080.439305665822,706825585.7577391,1091.7823552988903,96334.58843548923,2.456239333848924,418755.1529265869,5.772162434544972,-inf,10.708885418266084
,Point 1,157.1062403480085,100.85221204735637,1075.418773133995,6.228033192102982,8.147175530192952,6.507411645570147,19.145862495953438,0.4535777520032128,0.9964808043261888
,Point 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 3,-41.11208649467841,inf,1120.8535193046719,inf,3.3983912816454556,inf,7.986219511866821,-128.36110280511676,-0.48175620072554215
,Point 4,128.60150951906417,13.113425019245001,1087.3340832279207,1.6142590992529147,11.788275470384178,1.9344540773307937,27.70244735540282,0.9662427461932535,1.4844179363327692
,Point 5,148.24528861595192,6.834011954832841,1079.97635328909,0.26322676002921247,5.6484932859446735,0.3236498703628889,13.273959221969983,0.9998911641748539,1.5325443863318706
,Point 6,164.71095509984065,26.870698426961564,1091.9766233724376,4.0057006603395555,11.49303882514061,4.136062477975576,27.008641239080436,0.5487986918823524,1.7565668179950509
,Point 7,226.60006149515152,49.55180441954164,1078.6090904507469,1.890059332828526,5.91963783851996,1.4971901190091286,13.911148920521907,0.9985968671363505,2.610322639898185
,Point 8,948.3214932886336,914944385.4851922,1091.9725233495478,240044.1413534655,2.4520823243859398,621915.2040394566,5.762393462306958,-inf,9.193875879604825
,Point 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 10,-80.21650004879947,6.78970979830463,1087.0954063516065,0.9454438590259044,9.36169608747255,1.0398115214097032,21.999985805560495,0.9830744376605118,-0.8063198728281484
,Point 11,137.22040300861173,inf,1085.9491834007924,inf,0.9441334058334907,inf,2.2187135037087033,-inf,1.332530527698402
,Point 12,141.20122330501587,146.16279757003886,1073.339241811744,7.104551663738888,-7.02982753396806,10.012483250702736,-16.520094704824942,,1.7075305891397814
,Point 13,181.51371632911065,0.1337964623440917,1069.493596512433,0.0434151616892033,16.0133148231507,0.0374092457120971,37.63128983440415,-0.6647308067978754,1.7481862886780084
,Point 14,156.79393441057292,1.0136653337411446e+18,1085.4811722502764,9497572638423594.0,1.4221793894986956,1860594413227612.2,3.3421215653219347,-inf,1.6794609939717793
,Point 15,986.5038884085628,670584650.5497285,1092.165332513643,241853.52729948147,2.473725383136979,449608.3698045567,5.813254650371901,-inf,9.171169343087849
,Point 16,169.74984754135946,15.870610927072539,1077.320993824726,1.004808479000462,9.111023753840708,1.0697132087556678,21.410905821525667,0.9673186568260441,1.9528550999221503
,Point 17,202.0568640538684,23170906285.090458,1087.2508965007353,436291556.1924189,1.530085576120437,79110557.08744237,3.595701103883027,-inf,2.362400771897994
,Point 18,437.7395506311415,136480532.02680546,1092.8966489213835,320254.72128499375,2.780489379100658,318038.46674275317,6.534150040886547,-inf,5.053410766049283
,Point 19,1321.1521018496012,921171299.3337646,1091.3541505336373,49869.39341003153,2.3809227794729093,406640.96319389035,5.595168531761337,-inf,13.13200384416565
,Point 20,206.41442317622082,238.00464248808086,1102.4509573788796,89.91439828764832,23.847265367851918,58.926434831613236,56.04107361445201,-0.17971031034431628,1.8530802730561255
,Point 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 22,229.48383387658347,760.7114856448383,1108.0174909542357,170.1856501786876,22.352223223912343,85.08040567884007,52.52772457619401,0.22271111520344444,2.498245328947552
,Point 23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 25,161.69325927050969,61.32273768220721,1080.5616475282452,4.536046980908284,10.393422381128632,5.073817015590489,24.424542595652287,0.5732491361440741,1.5185427418014426
,Point 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 28,-178.86138608984155,15089501.449996462,1082.787645986682,46044.49182152624,2.5370399975224105,61311.565381030196,5.962043994177665,-inf,-1.5751617366324773
,Point 29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 31,95.49900609016267,4.4383109991609325e+17,1097.1137266704168,1.7302971558820624e+16,1.6406905157494984,2805984202256846.0,3.8556227120113213,-inf,0.889692725548798
,Point 32,635.3373616573033,259364475.99183577,1091.016728335477,99483.10786659535,2.4052158279223406,247362.1216149487,5.6522571956175005,-inf,7.269183385847616
,Point 33,1.2878062257179907,inf,1086.476705866693,inf,-1.2475500663293264,inf,-2.9317426558739172,,0.013969557387388016
,Point 34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 35,288.93614069226,312200576.08860135,1092.0854280023468,349397.85433199926,2.513188430203912,749475.7074409683,5.9059928109791935,-inf,3.380640967681522
,Point 36,714.4131506494517,1886280289.6737642,1091.427884759448,90302.14536415852,2.35174831193624,1472420.7740817855,5.526608533050164,,8.451557982892531
,Point 37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 39,283.1247677389474,8027124062.293238,1071.5300282052447,9183561.347515026,-2.420700425463338,17505258.135530353,-5.688645999838845,,3.644574059640226
,Point 40,143.9845997900099,67.72521781356215,1075.7250615309797,4.360117156737224,5.634404927043137,3.0854339603158873,13.240851578551373,0.9996968752538887,1.6784491261825654
,Point 41,193.97872795314936,48.04377779051792,1078.4635987434813,6.884987397120007,17.936196480226627,11.669358399705098,42.15006172853258,-0.42422512698824866,2.3123312588334155
,Point 42,207.5859410701924,362629837.3270501,1073.1609571678068,844776.2641551528,-2.294453868617242,969383.2084185365,-5.391966591250519,,2.6056383603339333
,Point 43,689.510564729627,2716110345.7440805,1091.7640278842628,536889.576427637,2.4163817537333863,2448255.9561689603,5.678497121273458,-inf,6.865227852248727
,Point 44,109.5000085866437,inf,1086.6395817611192,inf,1.0855810766466159,inf,2.551115530119547,-inf,1.1313449885790596
,Point 45,352.83398026489766,817169591.3293278,1073.487663620897,1359804.7374734837,2.190955165569844,1126234.17760975,5.148744639089133,-inf,3.6887894653519404
,Point 46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 47,172.1755110494589,24.523336108132902,1080.4044558348921,2.234795438031018,13.124910108818256,3.01682809957507,30.843538755722903,0.6063799055667638,1.6289201655545693
,Point 48,433.37076881589735,765641052.8190709,1081.3269183851303,400733.271597331,2.257539928545558,888986.0782232209,5.305218832082062,-inf,3.832008366663467
,Point 49,95.95681774159372,661502567093.3235,1075.9321072265984,12821482983.10334,1.5058683373208441,2562559242.370236,3.5387905927039838,-inf,0.8284153202653862
,Point 50,1153.405628436045,1331071502.4723797,1081.9877988309352,85821.23683249678,2.374860100748908,666312.2992343332,5.5809212367599335,-inf,9.748000115385613
,Point 51,-8415.349656481263,inf,1062.4155790144232,inf,-1.6716407381687939,inf,-3.928355734696666,,-85.96332747437118
,Point 52,1537.6599554846973,1719389922.617216,1082.0441689528172,107109.79995755001,2.3009691212523578,588495.916534274,5.407277434943041,,14.450370352726305
,Point 53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 54,375.9123024555553,1093369194.968252,1082.0608580965556,313328.1209236094,2.35857010323896,1635995.882488268,5.542639742611556,-inf,2.891666058442077
,Point 55,73.3800014080002,24.96268969907446,1096.1279063076906,27.807740766609825,19.427559542299168,22.60105452438425,45.65476492440305,-0.06983305874049117,0.8206080661826762
,Point 56,403.0049710489134,171283615.48533985,1093.4753424928397,711548.6627954224,2.869227797528906,516767.89489851013,6.742685324192929,-inf,4.0354879585002505
,Point 57,121.1241146100286,18.543247191221102,1074.2161703640984,5.331211206611808,15.959207920116736,6.28975628007766,37.50413861227433,0.5868832255590677,1.305146414367254
,Point 58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 59,-241.07171453458454,inf,1086.7614179779416,inf,1.2382771927932839,inf,2.909951403064217,-inf,-2.8309313456934846
,Point 60,310.0289707171189,284900025.4399843,1093.1108917531933,1129936.0059339602,2.7883537383150805,975509.249693982,6.552631285040439,-inf,3.080899802784069
,Point 61,86.83147060038377,79.41001361081355,1090.6726453208814,3.44058972961846,5.917017486589211,7.156134382843373,13.904991093484647,0.999957084246918,0.8542973966783073
,Point 62,547.3722056488625,68389198.53498557,1081.2337627607171,39504.59678587628,2.4600619406572597,80819.93364440388,5.7811455605445605,-inf,7.45888316870907
,Point 63,74.92469457376605,inf,1086.8857464924847,inf,0.748707966642226,inf,1.7594637216092313,-inf,0.7949592661571181
,Point 64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 66,171.4426550145776,94.01393207969659,1094.3692493677474,38.09464201721434,17.675967716577965,33.251853985090555,41.53852413395822,0.3982541674580141,1.3451571851099797
,Point 67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 68,191.2034115558819,1.284716038732051e+18,1094.9310686300837,6250386633007633.0,1.2187886549604001,814256685749929.9,2.8641533391569403,-inf,1.7486658360374194
,Point 69,67.52524842217157,27.060094382375308,1087.6418756953822,18.27979115405606,20.363871056809142,28.52136754328195,47.85509698350148,-0.7262234940522747,0.7615231903569974
,Point 70,131.17244663776228,76.17328946203284,1064.8426626843748,62.15951428419983,25.106644775212597,50.53532202916371,59.000615221749605,-0.48776258339127754,1.2844339128856608
,Point 71,-78.93116685136397,117.15186709130997,1086.641470193401,14.64329736423832,5.797422083675948,9.308305367958988,13.623941896638478,0.982159795589172,-0.7333435304557621
,Point 72,145.5416390445989,inf,1063.6643079034682,inf,-2.1535132627841254,inf,-5.060756167542695,,1.3142839067493681
,Point 73,220.01139292762934,32.535141874142184,1086.4715124860184,1.476876218191343,8.35326010562875,1.4707927575933806,19.630161248227566,0.9634861514326089,2.456432628161885
,Point 74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 76,148.00845282726752,91.39626145036115,1084.794306742881,8.314581465602638,11.31860013363743,9.894608626891664,26.598710314047963,0.3985343939245941,1.7239854739336105
,Point 77,151.96012376121047,31.244814044408713,1073.9357147564017,19.278953438488365,25.741689139907116,30.021304378904176,60.492969478781724,-0.575789129791848,1.81647543769739
,Point 78,817.773655048638,812970194.4360447,1081.895939494275,28974.53253610713,2.3576429541039494,560108.946136524,5.540460942144281,,8.01488395739754
,Point 79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 80,886.8066220902172,875380589.3430198,1090.9673547770105,244450.39691159903,2.3089360302071866,529522.7992964559,5.425999670986889,-inf,8.066362704995601
,Point 81,162.67484557444484,20.277202486712042,1081.5416391828603,0.8916593232210187,7.2181729380273625,1.1279952872299,16.9627064043643,0.9831948526946873,1.157098781631724
,Point 82,295.51167324525784,210922849.08682504,1072.2954619544848,46318.46249799447,2.401810920697275,425986.55569870176,5.644255663638597,-inf,2.9815644643338883
,Point 83,-106.5223462366913,inf,1133.2108222209524,inf,1.4231838808785793,inf,3.3444821200646615,-inf,-0.9354867490071274
,Point 84,339.3450879751284,27.733968255727206,1076.9614179472837,0.7633134441701164,7.23353113615439,0.6488543009117896,16.998798169962818,0.9986209924560361,3.5149733484244265
,Point 85,34.37703009361449,inf,1086.6343939020494,inf,-0.9045973018160532,inf,-2.125803659267725,,0.2860581776261013
,Point 86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 91,1094.1585446806762,350307441.5680859,1091.7338989445818,40629.529058311426,2.5061043130386382,217514.09466259822,5.8893451356408,-inf,9.238153215826799
,Point 92,469.5665426636715,3062657390.805516,1082.0016105483487,508001.51102670893,2.3045458117630355,3501903.6744626425,5.415682657643134,,3.9400497175953237
,Point 93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 94,266.3948127418329,198144168.31287727,1092.338701993531,415185.70891414885,2.7189676449617655,671269.7169120265,6.389573965660149,-inf,2.093990702312353
,Point 95,245.0588271080321,2691938451.8306346,1076.5396080197793,56670006.35544362,1.5736320602022151,10265014.115058653,3.698035341475206,-inf,2.5501670505675706
,Point 96,113.57845478267215,9713653.446930528,1072.177261376186,701.4579110911001,-2.765744183528408,78864.65189640214,-6.499498831291759,,1.3725834949492037
,Point 97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 98,95.93161831556961,21.642793265511806,1087.9148081550002,14.71011979728652,24.00705110858583,25.514808346069678,56.4165701051767,-1.7443476795479858,0.721945735055813
