Point,Height,Mean,Sigma,FWHM,R^2,SNR
0.0,159.35395824233606,830.5949655403625,17.66924123750923,41.52271690814669,0.9297681516090125,11.607503556151181
10.0,65.09643098166627,841.5469139630522,10.963267092870066,25.763677668244654,0.6408145983600618,4.741689898680513
18.0,165.0,830.0,16.0,37.6,0.7297086125011933,12.018766950566514
19.0,190.0,832.0,30.0,70.5,0.533564667491625,13.839792246106894
20.0,84.02088175892932,825.1826313529035,18.33900811408818,43.096669068107225,0.7576623160125316,6.1201660414647066
21.0,107.88369153524533,836.0,18.0,42.300000000000004,0.795830623798206,7.858357250478297
65.0,118.2654578695488,837.0522960589611,19.317708879942252,45.39661586786429,0.5343885409138192,8.614575614764542
74.0,143.9882436228478,821.5479928880764,9.407297229562204,22.10714848947118,0.9299108479140475,10.48824935590547
75.0,120.0,815.0,14.0,32.9,0.8719077893870383,8.740921418593828
77.0,140.95527308969707,829.614121474236,24.87536977524748,58.457118971831584,0.5055065242004766,10.267324713445628
80.0,140.0,832.2149407990157,26.0,61.1,0.4205033390920533,10.197741655026132
81.0,110.0,840.0,18.0,42.300000000000004,0.9361195617472504,8.012511300377675
82.0,110.0,835.0,19.0,44.65,0.6027527263260276,8.012511300377675
83.0,152.03144189929566,835.0,19.0,44.65,0.6448400527991146,11.074124056643804
84.0,113.51564824215785,840.0,18.0,42.300000000000004,0.607922761073318,8.268594675545335
90.0,123.40812215891995,832.0,18.0,42.300000000000004,0.6116691596818844,8.989172485061225
94.0,110.0,810.0,19.0,44.65,0.5163597949520573,8.012511300377675
96.0,140.0,830.0,20.0,47.0,0.6509419129846004,10.197741655026132
98.0,198.0337962177258,829.7174423789991,12.327282930080372,28.969114885688874,0.8530013493014639,14.424982091374707
99.0,130.0,815.0,29.0,68.15,0.4574993065252623,9.46933153680998
