Point,Height,Mean,Sigma,FWHM,R^2,SNR
0.0,-368.60227063435093,888.6003218084697,-110.77047177735938,-260.3106086767945,,-27.4897419758938
1.0,71.03613679174987,1093.7313534562745,0.7508239808236455,1.764436354935567,-inf,5.297756489695149
2.0,63.648058804333814,1088.1111408199092,-0.2858021329302488,-0.6716350123860847,,4.746765967519779
3.0,-310.4959867226418,948.141242272929,70.85868805504151,166.51791692934756,-0.7131997193879649,-23.156272328075374
4.0,123.6394770900542,1080.1295187708465,13.506617807621295,31.740551847910044,0.46621772796530603,9.22082578978904
6.0,1333.135806208681,1019.9670839252972,-18.086518557771566,-42.50331861076318,,99.42304280554947
7.0,799.9186295563383,1013.0151822400903,-18.620957182498582,-43.75924937887167,,59.65659595740172
8.0,73.41490342648284,1082.7654566901158,15.482089295052067,36.38290984337236,0.377460665421152,5.475160934049596
9.0,162.13096864418836,1073.5034105278976,12.670737759241797,29.776233734218224,0.28946681748962977,12.091456969758323
10.0,67.62752419489843,1096.6728251109041,30.38249749578661,71.39886911509853,0.016956549946210542,5.043547852776093
11.0,865.9662374372163,1009.8716118302383,21.501720053084814,50.52904212474932,0.908030912057197,64.5823162890907
12.0,2493.2488465934825,1017.2040806343527,-20.889575383555282,-49.09050215135492,,185.94233659113647
13.0,2485.3853351909083,1017.0454728786127,20.490484538207124,48.15263866478674,0.9430758559580898,185.35588903857732
14.0,174.2267253884739,1086.7281633908317,3.070804485174094,7.2163905401591215,-inf,12.99353831432343
15.0,646.0218297647187,1032.5717856987126,26.259327830876313,61.70942040255934,0.6610915145048565,48.1792295540241
17.0,860.4077563352823,1015.5964010418294,-20.653260691067207,-48.53516262400794,,64.16777404818947
18.0,341.65770489527347,1060.2534880007236,61.13737579771532,143.672833124631,0.4753572404357902,25.48026124604091
19.0,361.84005070216466,1124.1691653839878,46.48964891072303,109.25067494019912,-2.917126147711917,26.985426902630323
21.0,288.1544159943896,1042.3720452833384,35.85250801553044,84.25339383649654,0.5070419135221169,21.490075281597928
22.0,681.1835277767548,1087.9388156359037,2.611710114769903,6.137518769709272,0.999999728309539,50.80153029059229
23.0,29.23656474186626,1083.3563956692012,-0.6961299276992645,-1.6359053300932718,,2.1804141890723296
24.0,591.5969606587719,1022.2891702693445,-20.953900920569303,-49.241667163337866,,44.12031367643198
25.0,1670.3531444114242,1016.7658794872191,18.919479380921544,44.46077654516563,0.9352001582363418,124.57214891669133
26.0,42.54978625093946,1093.7109858664749,-1.3896673459014441,-3.265718262868394,,3.1732920232823814
27.0,-145.2577622646965,1089.2431998878305,2.587972911488651,6.08173634199833,-inf,-10.83308140717705
28.0,1731.3518474241466,1013.785713004319,19.910429967979955,46.7895104247529,0.9140799119194926,129.12133035227538
29.0,250.8688645823908,1083.4227170190318,7.450658963873823,17.509048565103484,0.9990826196218043,18.709381104156122
31.0,1074.4011201909882,1028.8818345526838,7.960948394437289,18.70822872692763,-3.567259546471515,80.12704187044986
32.0,946.568743506493,1016.8114813324867,20.41468231723662,47.97450344550605,0.9265843066162854,70.5935166288
33.0,229.47788152812643,1086.804871242861,2.6375747630494315,6.198300693166164,-inf,17.11407729943332
34.0,1813.8256740163736,1022.1693196154877,-21.92008540411083,-51.51220069966045,,135.2720906524851
35.0,1917.4058250348814,1020.6605080469749,20.886143833398055,49.08243800848543,0.9490520815570197,142.9969253921698
36.0,339.14690906447464,1026.8223998455362,20.747809586929815,48.757352529285065,0.6707023079686767,25.29301028466179
37.0,206.71326967427612,1050.9753015474182,39.509156386082836,92.84651750729466,0.3442189619473388,15.416330552060462
38.0,55.57628522861752,1053.2756461286754,41.387219063371965,97.25996479892412,-0.0555258911109453,4.1447865697737685
40.0,142.13700893765,1029.7922254805087,46.18529663565759,108.53544709379536,0.2411158984594436,10.600340834029517
41.0,128.0248970550137,1045.1472961471875,37.86282772034729,88.97764514281613,0.19945453282982106,9.547883089477404
43.0,252.74304985231583,1042.1172952514378,39.93816607730169,93.85469028165897,0.5398858434927201,18.849154712703335
44.0,1104.1647030096676,1022.4328426383651,22.392770707142788,52.623011161785556,0.9215985668483216,82.3467601878535
45.0,2120.522555694668,1018.9531976706744,-21.202463669351566,-49.82578962297618,,158.14503206882006
46.0,1321.879631977353,1013.7868144170167,19.59105814259087,46.03898663508855,0.9331883903143994,98.58357612314842
49.0,154.85202769838406,1076.0847249258386,12.083663779468937,28.396609881752003,0.5625326245677968,11.548605705946057
50.0,83.1630026014739,1092.0220795380078,-0.35337382547691204,-0.8304284898707434,,6.202157896425212
51.0,381.75863004962,1078.480919837201,2.7865646309678542,6.548426882774458,0.999979873188466,28.470921297023473
53.0,285.93386926114914,1034.0282541125728,36.316783708176224,85.34444171421413,0.3761820118413526,21.324470613354453
54.0,651.1013301349028,1016.9286827695669,21.606150075624026,50.77445267771646,0.9621400875413004,48.55805021159224
55.0,1172.0169953006916,1018.5992670625295,-19.331201196835114,-45.42832281256252,,87.40707086999652
56.0,329.9111795202461,1060.8856067227625,76.40703892240892,179.55654146766096,0.38598342860129287,24.604224993966074
57.0,108.68556092053866,1026.6236299627762,55.19516316928929,129.70863344782984,0.23005015460839295,8.105587686882957
58.0,133.51678650112746,1059.2928172758013,35.46219919199478,83.33616810118772,0.6676599810951174,9.9574590358599
59.0,219.9232390718572,1046.6632520827368,91.87240259595733,215.9001461004997,0.30147671206573745,16.401508016171057
