BLANK,Denied Points,Amplitude,Amplitude STD,Position,Position STD,Sigma,Sigma STD,FWHM,R^2,SNR
,Point 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 4,36.72326608161379,inf,1100.0993709589636,inf,0.311672160978228,inf,0.7324295782988358,,0.9190865625102235
,Point 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 10,304.10451634225905,4251.513860613011,1011.8340281790295,1653.153999481851,66.1105077961263,727.0775156583842,155.3596933208968,-3.030041250797484,8.023744017614845
,Point 11,133.72500436245633,38.37112984772906,1089.5474545886798,2.431266657670747,7.7083421189442225,2.664681761194288,18.114603979518925,0.8157262908348756,3.846271753272546
,Point 12,101.40640343867399,64.57494116951409,1093.8628776776943,8.382063340917568,10.463627351460207,9.735333762070043,24.58952427593149,0.5941005594221547,2.464517626590211
,Point 13,106.57240937970674,15.338131118312663,1070.1243999901528,24.917155976099664,34.37595653073154,24.607220061745032,80.78349784721912,-0.29098239725817066,3.1096371545283312
,Point 14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 15,68.31736137552402,5.741652052641044,1087.6352694307643,1.9527081543531921,17.593369997662258,3.6280996121906397,41.344419494506305,-0.2029759630813217,1.9164463164698207
,Point 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 18,22.164688088707944,inf,1083.3439290325682,inf,0.4601934863500361,inf,1.0814546929225848,-inf,0.5176210568940581
,Point 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 21,28.922897434584335,17.378883329339878,1081.0790716918848,5.152351303704787,7.33854698586274,5.405548359077242,17.24558541677744,0.9760119567473015,0.7099735184340229
,Point 22,45.37407277840172,4.178153239913887,1092.5171220893208,0.9663686081929665,8.901113802956333,1.0115905564598509,20.917617436947385,0.9833933427311742,1.087945015137471
,Point 23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
