BLANK,Approved Points,Amplitude,Amplitude STD,Position,Position STD,Sigma,Sigma STD,FWHM,R^2,SNR
,Point 6,194.8512313,14.10891929,1088.212212,1.533073648,13.30085215,1.842845997,31.25700256,0.936115359,5.245953543
,Point 7,148.4718954,12.85318258,1093.105695,4.544557165,15.79539132,4.183615788,37.11916959,0.584584554,4.04861365
,Point 8,237.0449651,0,1085,0,18,0,42.3,0.605267614,6.312414997
,Point 20,223.6588641,45.85326946,1083.417865,2.469583174,10.44433969,2.774453288,24.54419827,0.859179364,7.375266723
,Point 25,243.9190425,4.286138703,1083.668731,0.17852316,8.880229781,0.187995464,20.86853998,0.999127199,6.487367887
,Point 28,139.7763529,6.326256584,1084.973628,0.68460465,12.31252454,0.86187243,28.93443268,0.992528306,3.972623318
,Point 30,134.5432673,48.95430507,1082.140765,4.739100856,11.29400156,5.60836978,26.54090367,0.567388473,3.593822946
,Point 32,234.7763409,0,1092,0,14,0,32.9,0.633699131,5.990910781
,Point 38,155,0,1090,0,17,0,39.95,0.541805319,3.941177309
,Point 40,198.2092218,0,1088,0,17.49860595,0,41.12172398,0.626617236,5.944933037
,Point 41,201.5528922,58.08662642,1084.510039,3.34782484,10.01230766,3.696434138,23.52892299,0.803243415,5.495297649
,Point 42,259.0693572,41.71933478,1076.084664,4.116013018,15.15495458,5.352669632,35.61414327,0.522783635,6.534494776
,Point 47,118.9334547,1.83530081,1081.703823,0.158140174,9.035351065,0.168474929,21.233075,0.99927822,3.535607974
,Point 48,431.2895047,79.80845769,1081.022235,2.079485496,9.815326026,2.256559563,23.06601616,0.880267319,10.50056973
,Point 51,160.3828642,15.89361927,1084.907212,2.617566517,17.6480444,4.446785859,41.47290434,0.639312827,4.635177443
,Point 53,150.6859679,6.819108778,1079.458968,1.395690704,19.94582922,2.778965478,46.87269867,0.637146508,3.849058219
,Point 57,386.6831206,44.53883601,1085.419623,1.417572774,10.41603378,1.611990484,24.47767939,0.971530554,10.65776256
,Point 67,268.5107387,85.46354337,1083.925738,5.699410386,14.27666236,8.253481988,33.55015656,0.771014165,7.503214271
,Point 69,186.3158463,11.84202376,1082.382509,1.249944074,15.70537766,2.04828857,36.90763751,0.779725426,5.37587302
,Point 71,227.4879891,0,1088,0,20,0,47,0.648488572,5.35472375
,Point 72,208.1816145,35.82790187,1076.182431,1.835803844,8.945250311,1.98097997,21.02133823,0.963475391,5.662994562
,Point 73,223.9063989,48.88431174,1085.745867,13.25758286,26.59835923,30.93275008,62.50614419,0.675284187,6.418414145
,Point 74,254.2014653,0,1085,0,26,0,61.1,0.752113539,6.877861552
,Point 76,120.4665686,5.565006877,1075.094611,0.766412056,11.53579531,0.896362249,27.10911898,0.993734138,3.204179929
,Point 84,252.3570213,0,1092,0,17,0,39.95,0.611531118,5.803209328
,Point 85,246.4594843,0,1090,0,17,0,39.95,0.69853112,6.111524459
,Point 86,200.2687142,54.97211502,1085.259765,5.505408503,14.72004195,7.868125433,34.59209857,0.512009218,5.586026767
,Point 88,210,0,1082,0,16,0,37.6,0.482153811,5.607692741
,Point 89,189.9782671,27.38239352,1086.27721,14.32973796,33.15214225,39.09239436,77.90753429,0.614058306,4.869374153
,Point 91,217.9425143,53.0124043,1088.889764,2.347608292,8.194696228,2.591740889,19.25753614,0.982029209,4.699495682
,Point 92,212.9656107,37.66460771,1082.036416,2.317072731,11.35640151,2.754217347,26.68754356,0.851362952,5.418254964
,Point 93,250,0,1093,0,18,0,42.3,0.362059376,5.933605213
