BLANK,Approved Points,Amplitude,Amplitude STD,Position,Position STD,Sigma,Sigma STD,FWHM,R^2,SNR
,Point 0,277.8400853245497,9.47260433543879,1095.2837965648098,1.5570737630284393,12.160141258989217,1.2673600093762807,28.57633195862466,0.8483170410639644,7.298763957144497
,Point 1,324.5807939115363,27.438278478339665,1092.0326914903787,3.726668349764433,15.33453357783357,3.6639025814298782,36.03615390790889,0.8212485520635193,8.526869659293187
,Point 2,136.1816118655688,27.949609311624325,1078.1230760444123,3.577709697572742,13.333239968549558,4.71271259636492,31.33311392609146,0.6223662012935824,3.5456526229326992
,Point 11,205.02394258401023,25.56631270523041,1084.822567546251,1.7923725697453696,11.898986676731791,2.2057433478424766,27.96261869031971,0.9414516776159603,5.876064749248245
,Point 13,227.5998250918202,22.3060792567937,1086.6290474565303,1.2796498218866064,10.648992842945212,1.4856501306836665,25.025133180921248,-0.16704431718213364,6.629212057750445
,Point 15,192.250636273035,0.0,1089.7078979938067,0.0,19.0,0.0,44.65,0.28408295741608425,5.385543883175717
,Point 18,230.98817529879176,0.0,1094.9793763150087,0.0,12.0,0.0,28.200000000000003,0.5530182858698787,5.368104886500397
,Point 19,227.4952944269962,14.692250151305418,1082.1090193005239,0.74239316568724,10.039299456991971,0.813398880565797,23.592353723931133,0.9834567686187542,6.011125506531937
,Point 20,246.90255383195918,0.0,1084.0021534603954,0.0,22.0,0.0,51.7,0.06260675618090161,8.141739413837165
,Point 21,260.0,0.0,1090.0,0.0,15.0,0.0,35.25,0.44812733778289626,6.350384995942356
,Point 24,166.38660185623806,28.871574150106106,1087.9743909596914,9.148547951346622,21.47418522299703,14.43970089511424,50.46433527404302,0.7321878967178406,4.801242188088346
,Point 25,209.48658896513797,0.0,1080.0,0.0,20.0,0.0,47.0,0.7203030649763255,5.5715886563157095
,Point 28,236.24986719993942,45.26746291653815,1077.1943062099158,2.6268792370826093,11.061445571965896,3.095257289102477,25.994397094119858,0.9021189675379193,6.714524394708298
,Point 33,230.0,0.0,1085.8505630995724,0.0,14.0,0.0,32.9,0.632758596327412,5.9629207545883975
,Point 35,148.3415933035489,48.04044260528709,1082.1341078349199,5.675827895445798,14.463386041127784,8.522573925460716,33.98895719665029,0.6788419066382705,3.370371653676909
,Point 36,270.0,0.0,1088.074258306683,0.0,16.0,0.0,37.6,0.248161294509174,7.329674953740331
,Point 39,232.8713053539039,0.0,1074.9393685887053,0.0,16.0,0.0,37.6,0.5933991095734703,5.522553961335712
,Point 41,320.26524115898434,28.174568978497895,1077.6525360466228,1.9215007999761222,15.011680363368974,2.6992243353454386,35.27744885391709,0.9293336914795477,8.731965131454766
,Point 44,280.54187089367286,15.98152269374683,1087.4429676510476,1.8166378473890383,17.13415825659336,2.553001991249444,40.26527190299439,0.8454573474646419,6.009161198674036
