BLANK,Denied Points,Amplitude,Amplitude STD,Position,Position STD,Sigma,Sigma STD,FWHM,R^2,SNR
,Point 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 2,189.88061500776357,86.3894849170668,1057.2540443232901,47.43770702224197,37.253844092849704,29.96319248610828,87.5465336181968,-0.18971560211904537,4.969041159540732
,Point 3,206.98967601752736,24.443413399926307,1078.3124406151628,0.7217899980322825,7.010089705519774,1.3265592780869344,16.473710807971468,0.9986606197463567,4.531705161800517
,Point 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 6,184.79830738828588,99.1552907704603,1095.0260092537255,5.301851448934785,8.337352383696416,5.818590003208094,19.59277810168658,0.6385802045115705,5.000266230064535
,Point 8,665.8200136761257,418592550.39212024,1078.9524315900776,135967.37205912668,2.361135958134025,358549.21029131365,5.548669501614959,-inf,17.805986810732122
,Point 10,215.77183346231078,81.52058662922083,1090.051954987636,5.480460369028265,12.233483662767684,6.927641343291346,28.74868660750406,0.6711835313620216,5.693101762304928
,Point 11,215.45912880941287,41.11972001554581,1093.2387415650376,4.39955958592206,14.821212381725188,5.866034502254783,34.82984909705419,-0.3583788142045685,6.197153367654102
,Point 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 13,166.66663887435044,23.83515832074021,1094.8665564017276,1.1863907557816142,6.383862926062219,1.061987511737349,15.002077876246215,0.9997672783273135,4.863104584766236
,Point 14,557.2642991514853,70350488.72583242,1087.7788861712522,26906.799734861084,2.506320993917553,86153.33113847043,5.889854335706249,-inf,13.740405559219488
,Point 15,730.6603665481211,35070792.00373051,1087.5086490131928,17970.293154600804,2.5347945442161812,34400.00860423891,5.956767178908026,-inf,20.496566902879675
,Point 16,178.21866166334357,43.194826610402906,1084.1935854426506,2.2550527836190337,6.076134865538404,1.6048030622399423,14.27891693401525,0.9984472750566707,4.685817401415715
,Point 17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 20,80.45729871435162,37.1503912727585,1089.237008721793,14.021362060056223,20.63159702557336,30.669964069041885,48.4842530100974,0.0396017689577457,2.6667827511311097
,Point 21,250.07117290601016,33.378859757346135,1083.725357560038,4.637188540770061,19.17062010661301,7.724977689781191,45.05095725054058,-0.8423128577948653,6.138524360796099
,Point 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 23,-67.71054335122963,89.64133137939602,1102.8163934515865,70.5060566123909,-13.395107546962777,52.09116201908038,-31.478502735362525,,-1.8686202355040817
,Point 25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 26,454.5467863443069,1023305954.9907728,1087.8154467511315,374554.3743959865,2.333254804641333,1232440.6935768612,5.483148790907133,-inf,12.167130595625082
,Point 30,944.1919071033506,589463546.2694354,1097.1885998127227,190599.00875827947,2.332292051857642,348889.98567214445,5.480886321865459,-inf,25.131152862557784
,Point 31,914.75809369414,112847833.56094612,1078.3888648280542,8097.820663275967,2.562582400342401,89277.15084569152,6.022068640804642,0.9999999944428728,22.336805241752998
,Point 32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 33,112.74416097650746,13.612109847507355,1091.3184710760827,2.9383949252748716,16.74198132081451,4.740473613310021,39.3436561039141,0.762289662186171,2.9379400560137494
,Point 34,262.82201212938236,331907239.9783951,1086.7577919486725,860373.3039153931,2.247330626575537,683082.2895880778,5.2812269724525125,-inf,8.129564641603151
,Point 36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 37,321.26198985823174,6062.742737070655,1034.278215122502,499.6522993563093,24.83139365022236,130.32366364915845,58.35377507802255,-9.636958798658615,9.195304125644062
,Point 39,160.5562795168617,3430531.1949456423,1073.8749504602536,1245582.3795711757,3.391435853661487,455637.46594687697,7.969874256104494,-inf,3.8211652392068713
,Point 40,210.88021338008946,742092605.0054935,1079.7638424763768,1982444.3826209533,2.182276171995285,1713746.5916079013,5.12834900418892,-inf,6.355086375148546
,Point 41,253.5139194619929,7979.389207936614,999.0450147413181,1990.4292412113766,51.993521057316904,597.3819125165659,122.18477448469473,-8.390508836640903,6.946617221426017
,Point 42,-361.43479789348646,610361421.2391653,1087.7739212101162,334853.3598432831,2.389769724764238,1008235.8848746269,5.61595885319596,-inf,-9.161550436255709
,Point 43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 44,225.64191468770082,121.46537280276148,1084.1646206015528,5.175887694504769,5.753161098446663,3.451749398461694,13.519928581349658,0.9971068834119008,4.8456783495427675
,Point 45,132.6014157989521,33.33990261984137,1090.5633355016812,1.8250626256242206,5.9665181912075385,1.822980980148069,14.021317749337715,0.9946265771211218,2.895739857814532
,Point 46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 47,148.54505814009306,10.925342032716312,1087.881327487852,1.134878108987064,13.08408313221492,1.5368116538902932,30.747595360705063,0.23868279817374294,4.438545335414575
,Point 48,335.00469185526237,inf,1070.5828817787294,inf,2.142569812910144,inf,5.035039060338839,-inf,8.198687714264743
,Point 49,662.222345546919,75787122.51520473,1078.7661298473017,16035.354335442484,2.493366850736599,76498.04009909471,5.859412099231007,-inf,15.739182155320286
,Point 50,497.0017806577621,195266435.70548987,1089.2700649929702,198185.31068830335,2.240846459517779,201620.9602013022,5.26598917986678,-inf,12.7525498869107
,Point 51,200.28837945978194,27414060587036.53,1071.1431284075531,548406030144.7537,2.890102430632752,107844310578.95078,6.791740711986967,-inf,5.817303622955919
,Point 52,523.8946236048615,131436385.10240859,1097.5064468960902,40931.82901275418,2.4300612929508847,156022.44984838052,5.710644038434579,-inf,13.230124576943764
,Point 55,687.2211279797118,20611953.00313808,1088.9554676252594,13057.638114033707,2.496716800172824,20726.83418634141,5.867284480406137,-inf,19.588492124046837
,Point 56,145.829806428126,2.6766144851652562,1094.152467303883,0.19223649241943108,8.77171870444922,0.2075009427642704,20.61353895545567,0.9995364821860985,4.166793952048216
,Point 57,156.28768159349187,15.046927190405622,1090.4857331013202,0.6482642958001954,5.550655535855733,0.6602901522084698,13.044040509260974,0.9997762718625144,4.320690647571954
,Point 58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 59,240.97846252895675,63.04917859638464,1084.6815248678167,2.3366154821546443,6.011229140861235,1.7737440848357464,14.126388481023902,0.9978864738946684,6.082191957198913
,Point 60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 62,410.75386060691727,inf,1070.8179432131005,inf,1.972188199021969,inf,4.6346422677016275,-inf,11.315788011590294
,Point 63,600.638386721905,268578668.1764397,1078.177390559451,82538.169396541,2.5537534913686826,321480.137891109,6.001320704716404,-inf,16.785051778660133
,Point 64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
