BLANK,Denied Points,Amplitude,Amplitude STD,Position,Position STD,Sigma,Sigma STD,FWHM,R^2,SNR
,Point 1,281.5079802036849,85.94150240140762,1078.7564288732885,3.2935007079778678,9.294120781646978,3.5064875569039646,21.8411838368704,0.8219849096219677,7.395329299434537
,Point 2,122.03623655776958,17.885873964114193,1076.893225006566,2.640787256382182,12.991340703811872,3.315857547820108,30.5296506539579,0.12078239194405538,3.1773607046965155
,Point 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 4,399.8206465767102,47.831154398739464,1079.9448326250101,1.0249465348682718,7.620769510014203,1.0845924375557057,17.90880834853338,0.9858438572097741,9.956351573552631
,Point 5,320.91582635546945,4391.710410676184,1091.013778066449,13.183024176143368,4.585846815261386,56.97805287032384,10.776740015864256,0.9999999903252139,8.653180958463997
,Point 6,259.67766973138527,41.461067982266826,1074.4870052849974,17.986515294270994,29.183010724116063,32.716258120566295,68.58007520167276,-0.09146395592106193,6.9912670438627
,Point 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 8,910.9508887519733,321800912.4677601,1091.055016083686,79412.16199740414,2.407032465050783,214556.35790045172,5.65652629286934,-inf,24.258266991617337
,Point 9,330.73481082996796,103.94495089456534,1073.679225297587,3.986264978948512,9.511202029966517,4.713362333050614,22.351324770421318,-0.7593647186334895,8.232438086278966
,Point 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 12,252.65564416747048,19.798895514728603,1086.8657511802828,0.7783516212736797,8.27108092284988,0.7730948773986154,19.43704016869722,0.9929546629048769,6.123584421059407
,Point 13,287.24256467554,74.65356606791997,1080.840327144506,4.557735648122468,14.38127512127393,6.769362222720678,33.79599653499373,-0.44946603680207353,8.366403060626462
,Point 14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 15,20725.934091994546,3644892.252360426,725.8989324713132,12670.85812777191,112.81824963564353,2020.0990802491258,265.1228866437623,-4085.1329725832807,580.5984819406297
,Point 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 17,387.0552591100565,263.91450892007776,1062.9653781064724,44.06840058006511,19.582875311951064,28.02577145341681,46.019756983085,-0.8376208115251269,9.862549112575572
,Point 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 19,1213.1944853522955,2404315500.451707,1082.164957266342,314814.381349004,2.3399417637100584,1113206.8547606524,5.498863144718637,-inf,32.056330367858685
,Point 20,310.51007635593436,180.01512251571125,1078.8203698558011,30.411674670541206,25.97793329519274,75.22860908639214,61.048143243702945,-0.24045193604141035,10.239230367707364
,Point 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 24,28527.353503211365,2794.4107345094285,1078.269807386834,0.8286621059295786,3.5581286804295287,0.4057176379429637,8.361602399009392,-inf,823.1836675916416
