BLANK,Denied Points,Amplitude,Amplitude STD,Position,Position STD,Sigma,Sigma STD,FWHM,R^2,SNR
,Point 0,543.6832263136325,1151367054.2469623,1090.4139294648044,1003539.0591749995,2.198213432558405,1015588.2495984166,5.165801566512252,-inf,5.388772274290739
,Point 1,516.8877346735098,717753971.2324039,1091.0298125246873,304167.8493920061,2.3200429461044734,750427.7297051395,5.452100923345513,-inf,3.2784738814503105
,Point 2,-41.677811633823275,75.23347858921244,1087.6352522094246,17.77653832997531,8.208605577317343,18.02105379366898,19.290223106695755,-7.656878445405916,-0.19456772789558255
,Point 3,-2543.2810342591133,33409.24363659356,1217.0953801709322,488.7113521664294,49.28516882419574,91.86072943011487,115.82014673686,-412.61660290822886,-29.802462314837616
,Point 4,363.766583641779,1393465218.2241573,1072.3582061431814,343515.26069448504,2.3273424758059886,2068974.3011847388,5.469254818144074,-inf,4.198874829819188
,Point 5,133.4632726683271,38.23646173684228,1075.8008264484563,2.9060104978759176,5.081864866109601,1.8473635715053736,11.942382435357564,0.9999995284262441,1.3797294417848713
,Point 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 8,109.94018343331389,52.434914956438824,1077.1294096654756,18.970217662279087,20.294961757866123,32.41658285621014,47.69316013098539,-0.7774465667322104,1.0658583695721762
,Point 9,112.70422277827792,inf,1077.0856518587148,inf,1.0956155102741159,inf,2.5746964491441724,-inf,1.3475881468008368
,Point 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 11,419.38618299322076,24634.722935984697,1127.592678040235,893.0699983534663,16.568708327459944,200.5674331015987,38.93646456953087,-5.612054086642632,4.072607859184782
,Point 12,156.11141795080954,26.755607596847824,1077.1604874083794,5.099597337737982,17.411114190318937,7.742436353834196,40.9161183472495,-1.5850959430834575,1.8878379041318356
,Point 13,787.8969678223298,457210786.8769036,1081.6683074669575,49427.375565054965,2.429539676168367,359722.1326001715,5.709418238995663,-inf,7.588355876866992
,Point 14,138.14162886978212,inf,1098.0580504014608,inf,1.3866361428152707,inf,3.258594935615886,-inf,1.4796712526073361
,Point 15,10.041101036241482,inf,1100.0923704372262,inf,0.07255251413145203,inf,0.17049840820891227,,0.09334847949052055
,Point 16,303.35801106978846,212331358.75759926,1091.0497482103044,141658.37667548767,2.279822429098872,358639.7535975922,5.357582708382349,-inf,3.4899250137796742
,Point 17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 18,120.30208533988998,20.671992167259408,1078.6733692397156,1.8270679532558496,9.150072330865902,1.9300179605794647,21.502669977534868,0.9025037766799633,1.3888072310538213
,Point 19,-79.75833450757521,inf,1125.0245773583993,inf,3.5824607434822955,inf,8.418782747183394,-inf,-0.7927828702625499
,Point 20,186.307581927818,1808.7497550489984,1075.8358034193495,69.16900110980663,3.0940561240255264,28.934239647841988,7.271031891459987,-inf,1.6725716133532273
,Point 21,61.09278132269402,52.69488666045548,1087.196341620418,7.954889309344135,6.6774170165253866,6.197751370688073,15.691929988834659,0.9447797932880927,0.6627622930131645
,Point 22,250.13615752789096,209.7604244904202,1080.0072082704778,4.932676297843747,5.80860637757401,6.079665495455187,13.650224987298925,0.8727234411031524,2.723074111969974
,Point 23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Point 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
