Point,Height,Mean,Sigma,FWHM,R^2,SNR
4.0,95.2415560491527,849.0679595686355,10.622613665121683,24.963142113035957,0.6891884475142194,6.9374913100853615
10.0,180.0,840.0,9.0,21.150000000000002,0.6627555714159385,13.111382127890742
11.0,96.9705145077532,821.9769162639845,12.0,28.200000000000003,0.7166157403744313,7.063430393607361
29.0,120.0,820.0,28.0,65.8,0.6699029415298696,8.740921418593828
30.0,166.88508587460163,839.3261976083526,10.222935207135874,24.023897736769307,0.734045384377171,12.15607851304313
38.0,140.0,842.0,8.5,19.975,0.5719477801506754,10.197741655026132
40.0,161.57334404888,820.867137014221,10.129078704438937,23.803334955431502,0.818873963514593,11.769165863922373
41.0,92.78975712518078,800.1253771555661,9.211755879406814,21.647626316606015,0.8166234259165198,6.7588997956801
74.0,80.0,840.0,16.0,37.6,0.5675622462722396,5.8272809457292185
83.0,106.04275771507429,831.4531770653789,9.238613527577929,21.710741789808132,0.9567004873655242,7.724261768320406
84.0,95.0,835.0,20.0,47.0,0.3585211457980052,6.919896123053447
86.0,70.0394303277177,848.6379487244308,10.719244773281847,25.19022521721234,0.7455339746980931,5.101742972480481
92.0,91.73824283216894,832.2534141283897,21.550861248108617,50.644523933055254,0.5156475729492258,6.682306430632226
94.0,231.54367778218452,831.1137820868735,19.479842005515415,45.777628712961224,0.7991151298350898,16.86587577055237
97.0,160.1579542760109,845.0,9.0,21.150000000000002,0.530739714338284,11.666067440744623
