Approved Points,Height,Position,Sigma,FWHM,R^2,SNR
Point 0,159.3539582,830.5949655,17.66924124,41.52271691,0.929768152,11.60750356
Point 10,65.09643098,841.546914,10.96326709,25.76367767,0.640814598,4.741689899
Point 18,165,830,16,37.6,0.729708613,12.01876695
Point 19,190,832,30,70.5,0.533564667,13.83979225
Point 20,84.02088176,825.1826314,18.33900811,43.09666907,0.757662316,6.120166041
Point 21,107.8836915,836,18,42.3,0.795830624,7.85835725
Point 65,118.2654579,837.0522961,19.31770888,45.39661587,0.534388541,8.614575615
Point 74,143.9882436,821.5479929,9.40729723,22.10714849,0.929910848,10.48824936
Point 75,120,815,14,32.9,0.871907789,8.740921419
Point 77,140.9552731,829.6141215,24.87536978,58.45711897,0.505506524,10.26732471
Point 80,140,832.2149408,26,61.1,0.420503339,10.19774166
Point 81,110,840,18,42.3,0.936119562,8.0125113
Point 82,110,835,19,44.65,0.602752726,8.0125113
Point 83,152.0314419,835,19,44.65,0.644840053,11.07412406
Point 84,113.5156482,840,18,42.3,0.607922761,8.268594676
Point 90,123.4081222,832,18,42.3,0.61166916,8.989172485
Point 94,110,810,19,44.65,0.516359795,8.0125113
Point 96,140,830,20,47,0.650941913,10.19774166
Point 98,198.0337962,829.7174424,12.32728293,28.96911489,0.853001349,14.42498209
Point 99,130,815,29,68.15,0.457499307,9.469331537
