Point,Height,Mean,Sigma,FWHM,R^2,SNR
1.0,-58.788620032854276,818.5238552922422,7.848977563463462,18.445097274139137,0.9299590300878394,-4.282222566789584
2.0,38.72004045499622,839.5722440416437,1.3334861296242324,3.133692404616946,-inf,2.8204069245157997
3.0,47.176032622797,843.1687815284873,50.014835908953714,117.53486438604124,0.12344018756996789,3.4363499499740624
4.0,97.34297277984584,816.6056655933714,4.593525058321252,10.794783887054944,0.9999044746683377,7.0905606310079206
5.0,378.0831095508698,794.6980883959159,2.531019582184228,5.947896018132936,-inf,27.539956252347952
6.0,59.45868812089389,819.7142932666219,0.9129423627261486,2.145414552406449,-inf,4.331031004311765
7.0,-37.06014223084388,828.2652877630147,5.107937592628874,12.003653342677854,0.9999010747607324,-2.699498258347641
8.0,85.13269596898827,857.6202461177858,7.884585032606934,18.528774826626297,-197.99145793281687,6.20115171348305
9.0,-79.36594637943782,820.2727793457558,23.83164612461214,56.00436839283853,0.47480648940929704,-5.78109583845831
11.0,-152.54141663422885,833.9993343117951,2.426442635006722,5.702140192265797,-inf,-11.111271132339798
12.0,-26.18942343434595,843.3448839671981,9.276732228673758,21.800320737383334,-3.6331416976474253,-1.9076641019824803
13.0,63.060863866594715,838.3628200065667,1.4023873579277102,3.295610291130119,-inf,4.593417130387895
14.0,0.0,0.0,0.0,0.0,,0.0
15.0,99.2785335185462,824.8226002844021,2.2237558418042167,5.225826228239909,,7.2315488336570475
16.0,47.24399974927927,828.5634175500583,6.118003566720569,14.377308381793338,0.8376236897921396,3.441300744237638
17.0,199.62748303302644,834.8666810836429,2.5611598884280324,6.018725737805877,-inf,14.541067851527972
22.0,461.46151315773864,844.7849369282312,2.6813253806251547,6.301114644469114,0.9999999531452415,33.613323535143294
23.0,0.0,0.0,0.0,0.0,,0.0
24.0,-36.7024344528268,840.1382261799464,5.676189070701327,13.33904431614812,0.9888569853411152,-2.673442461860415
25.0,124.55700001366758,812.3004335280298,-3.185807421040172,-7.486647439444405,,9.072857910460488
26.0,0.0,0.0,0.0,0.0,,0.0
27.0,199.60735060714148,958.2227733824258,395.68803935777163,929.8668924907633,-0.02624572307221973,14.53960138525609
28.0,-319.92623954135746,824.8729269642162,2.3824836501243043,5.598836577792115,-inf,-23.303750996476925
29.0,6.960842551949504,830.8808933594586,1.0364934608584733,2.4357596330174123,-inf,0.5070348146149561
30.0,76.83868457196935,892.5565661709592,27.93420708773728,65.64538665618261,0.18481890504100196,5.597007531264183
31.0,6.135290152444742,829.4996101562405,1.2898280499007324,3.0310959172667213,-inf,0.44690074252326695
32.0,-182.29312981158952,833.5845484882628,2.45932077335287,5.7794038173792455,-inf,-13.278416023605232
33.0,43.97775518610214,835.6430586440003,2.509147747241499,5.896497206017522,-inf,3.203384185398966
34.0,338.9015869079556,814.6029000214453,2.7636724566265607,6.494630273072418,0.9999999795251059,24.685934498326557
35.0,45.37713047291095,856.4722763251223,20.418351198389495,47.983125316215315,0.09572400120087421,3.305316097208283
